month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
1986-10-01,46,0,0.0,0.2017959842599132,adjacent_top_150,adjacent 150,journal_cutoff
1986-11-01,42,0,0.0,0.2017959842599132,adjacent_top_150,adjacent 150,journal_cutoff
1986-12-01,62,0,0.0,0.2017959842599132,adjacent_top_150,adjacent 150,journal_cutoff
1987-01-01,155,0,0.0,0.15723270440251572,adjacent_top_150,adjacent 150,journal_cutoff
1987-02-01,57,0,0.0,0.15723270440251572,adjacent_top_150,adjacent 150,journal_cutoff
1987-03-01,62,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-04-01,87,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-05-01,46,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-06-01,65,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-07-01,56,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-08-01,55,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-09-01,58,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-10-01,52,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-11-01,42,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1987-12-01,81,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-01-01,175,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-02-01,41,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-03-01,61,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-04-01,60,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-05-01,46,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-06-01,91,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-07-01,45,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-08-01,54,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-09-01,74,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-10-01,73,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-11-01,47,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1988-12-01,67,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1989-01-01,203,1,0.49261083743842365,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-02-01,52,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-03-01,62,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-04-01,70,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-05-01,55,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-06-01,66,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-07-01,74,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-08-01,49,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-09-01,63,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-10-01,76,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-11-01,54,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1989-12-01,82,0,0.0,0.041050903119868636,adjacent_top_150,adjacent 150,journal_cutoff
1990-01-01,206,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-02-01,65,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-03-01,79,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-04-01,52,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-05-01,69,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-06-01,67,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-07-01,62,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-08-01,39,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-09-01,80,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-10-01,89,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-11-01,53,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1990-12-01,66,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-01-01,210,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-02-01,51,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-03-01,57,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-04-01,73,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-05-01,94,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-06-01,78,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-07-01,58,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-08-01,60,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-09-01,74,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-10-01,74,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-11-01,82,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1991-12-01,63,0,0.0,0.0,adjacent_top_150,adjacent 150,journal_cutoff
1992-01-01,195,1,0.5128205128205128,0.04273504273504273,adjacent_top_150,adjacent 150,journal_cutoff
1992-02-01,57,0,0.0,0.04273504273504273,adjacent_top_150,adjacent 150,journal_cutoff
1992-03-01,77,0,0.0,0.04273504273504273,adjacent_top_150,adjacent 150,journal_cutoff
1992-04-01,73,0,0.0,0.04273504273504273,adjacent_top_150,adjacent 150,journal_cutoff
