month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
2020-12-01,38,0,0.0,0.1851851851851852,development,Development,field
2021-01-01,45,0,0.0,0.1851851851851852,development,Development,field
2021-02-01,46,0,0.0,0.1851851851851852,development,Development,field
2021-03-01,55,1,1.8181818181818181,0.15151515151515152,development,Development,field
2021-04-01,47,0,0.0,0.15151515151515152,development,Development,field
2021-05-01,46,0,0.0,0.15151515151515152,development,Development,field
2021-06-01,59,0,0.0,0.15151515151515152,development,Development,field
2021-07-01,48,0,0.0,0.15151515151515152,development,Development,field
2021-08-01,58,1,1.7241379310344827,0.2951933124346917,development,Development,field
2021-09-01,33,0,0.0,0.2951933124346917,development,Development,field
2021-10-01,40,0,0.0,0.2951933124346917,development,Development,field
2021-11-01,50,1,2.0,0.4618599791013584,development,Development,field
2021-12-01,41,0,0.0,0.4618599791013584,development,Development,field
2022-01-01,56,1,1.7857142857142856,0.6106695029108822,development,Development,field
2022-02-01,46,1,2.1739130434782608,0.7918289232007373,development,Development,field
2022-03-01,43,0,0.0,0.6403137716855857,development,Development,field
2022-04-01,47,0,0.0,0.6403137716855857,development,Development,field
2022-05-01,59,1,1.694915254237288,0.7815567095386932,development,Development,field
2022-06-01,47,0,0.0,0.7815567095386932,development,Development,field
2022-07-01,44,1,2.272727272727273,0.9709506489326324,development,Development,field
2022-08-01,66,1,1.5151515151515151,0.9535351142757186,development,Development,field
2022-09-01,70,0,0.0,0.9535351142757186,development,Development,field
2022-10-01,38,1,2.631578947368421,1.1728333598897536,development,Development,field
2022-11-01,63,1,1.5873015873015872,1.1384418254982192,development,Development,field
2022-12-01,63,1,1.5873015873015872,1.2707169577733515,development,Development,field
2023-01-01,62,0,0.0,1.1219074339638277,development,Development,field
2023-02-01,58,0,0.0,0.9407480136739726,development,Development,field
2023-03-01,71,1,1.4084507042253522,1.058118905692752,development,Development,field
2023-04-01,57,0,0.0,1.058118905692752,development,Development,field
2023-05-01,62,0,0.0,0.9168759678396446,development,Development,field
2023-06-01,86,2,2.3255813953488373,1.1106744174520478,development,Development,field
2023-07-01,59,1,1.694915254237288,1.0625234159112156,development,Development,field
2023-08-01,57,1,1.7543859649122806,1.0824596200579462,development,Development,field
2023-09-01,60,0,0.0,1.0824596200579462,development,Development,field
2023-10-01,50,1,2.0,1.0298280411105776,development,Development,field
2023-11-01,65,0,0.0,0.8975529088354456,development,Development,field
2023-12-01,64,0,0.0,0.7652777765603131,development,Development,field
2024-01-01,41,1,2.4390243902439024,0.9685298090806383,development,Development,field
2024-02-01,19,0,0.0,0.9685298090806383,development,Development,field
2024-03-01,30,0,0.0,0.8511589170618591,development,Development,field
2024-04-01,21,0,0.0,0.8511589170618591,development,Development,field
2024-05-01,27,0,0.0,0.8511589170618591,development,Development,field
2024-06-01,22,0,0.0,0.6573604674494559,development,Development,field
2024-07-01,25,0,0.0,0.5161175295963486,development,Development,field
2024-08-01,36,0,0.0,0.3699186991869919,development,Development,field
2024-09-01,37,0,0.0,0.3699186991869919,development,Development,field
2024-10-01,22,0,0.0,0.2032520325203252,development,Development,field
2024-11-01,32,0,0.0,0.20325203252032523,development,Development,field
2024-12-01,27,2,7.4074074074074066,0.8205359831376091,development,Development,field
2025-01-01,37,0,0.0,0.6172839506172839,development,Development,field
2025-02-01,32,1,3.125,0.8777006172839505,development,Development,field
2025-03-01,21,0,0.0,0.8777006172839505,development,Development,field
2025-04-01,26,0,0.0,0.8777006172839505,development,Development,field
2025-05-01,32,0,0.0,0.8777006172839505,development,Development,field
2025-06-01,42,0,0.0,0.8777006172839505,development,Development,field
2025-07-01,34,2,5.88235294117647,1.367896695715323,development,Development,field
2025-08-01,27,1,3.7037037037037033,1.676538671023965,development,Development,field
2025-09-01,18,0,0.0,1.676538671023965,development,Development,field
2025-10-01,27,3,11.11111111111111,2.602464596949891,development,Development,field
2025-11-01,34,1,2.941176470588235,2.847562636165577,development,Development,field
2025-12-01,29,1,3.4482758620689653,2.517635007387374,development,Development,field
2026-01-01,32,1,3.125,2.7780516740540406,development,Development,field
2026-02-01,34,1,2.941176470588235,2.76273304660306,development,Development,field
