horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
10,trade openness,source_family,2,61.5,0.5,0.5,8,5988.122789627278,8.75,0.4769230769230769,13.997371080139372
10,uncertainty,source_family,1,49.0,0.0,1.0,7,349.8716593850828,7.428571428571429,0.1370292887029288,7.260361946247782
10,uncertainty measures,source_family,2,28.0,1.0,0.0,34,148.69978605246078,9.0,0.2265751211631664,7.477778410324449
10,urbanization,source_family,4,30.75,0.5,0.5,9,6184.56395112853,12.444444444444445,0.4799035369774919,13.184062099753696
10,volatility,source_family,1,128.0,1.0,0.0,19,453.7100643371904,17.63157894736842,0.1764705882352941,6.464738128654971
10,willingness to pay,source_family,5,38.6,0.8,0.2,51,835.4385679461064,10.411764705882353,0.1524366471734893,6.148512204447914
10,carbon emissions,target_family,15,73.73333333333333,0.5333333333333333,0.4666666666666667,101,463.7331144582803,11.009900990099009,0.46785895056521,13.593994067634007
10,corporate esg performance,target_family,1,81.0,1.0,0.0,1,100.83136220515456,9.0,0.9428571428571428,15.600137575757577
10,digital economy,target_family,3,44.333333333333336,1.0,0.0,7,189.76608854179946,7.142857142857143,0.9508599508599508,13.397565935747068
10,digital transformation,target_family,1,69.0,1.0,0.0,3,405.0040759834155,10.666666666666666,0.9539170506912442,12.937334985700668
10,ecological footprint,target_family,2,88.5,1.0,0.0,10,7962.140163070498,28.6,0.7392739273927392,17.24515533769063
10,economic growth,target_family,1,48.0,0.0,1.0,52,1028.7402798019389,12.442307692307692,0.38717478371593184,12.487094360936691
10,energy consumption,target_family,2,75.0,0.5,0.5,14,7913.812075247115,15.142857142857142,0.36018957345971564,14.81321299646496
10,energy efficiency,target_family,1,148.0,1.0,0.0,7,300.97506272741794,19.714285714285715,0.5096030729833547,11.36307842138765
10,energy intensity,target_family,2,70.5,1.0,0.0,4,329.4264251928347,9.75,0.3811023622047244,11.430201600387974
10,environmental pollution,target_family,3,92.33333333333333,0.6666666666666666,0.3333333333333333,5,244.08785872491325,12.0,0.3320987654320987,9.77654610455312
